Site,Easting (m),Northing (m),Ice Thickness (m),Water Depth (m),"Water Conductivity (mS/m, Î©m)"
1,538490,6978028,1.7,9.4,"8, 125"
2,537138,6978249,1.8,12.8,"8, 125"
3,536815,6978011,1.5,1.9,"34, 29"
4,536714,6977846,Onshore,NA,NA
5,536891,6977419,BFI,BFI,-
6,538865,6976569,BFI,BFI,-
7,538392,6975961,BFI,BFI,-
8,539120,6975419,1.6,1.8,"35, 29"
9,539827,6974558,BFI,BFI,-
10,542768,6971136,BFI,BFI,-
11,542737,6970929,1.8,3.1,"16, 62"
12,542307,6970745,1.7,16.6,"25, 40"
13,541939,6970815,1.8,6.7,"15, 67"
14,541445,6970989,Onshore,NA,NA
15,540903,6970835,1.7,6.7,"17, 59"
16,540101,6970945,1.5,4.8,"17, 59"
17,539757,6971255,BFI,BFI,-
18,537941,6978501,1.8,17.3,"18, 56"
19,538060,6977336,1.8,7.1,"9, 111"
20,540030,6974019,1.7,3.1,"30, 33"
21,540886,6971888,BFI,BFI,-
22,542769,6971318,Onshore,NA,NA
